record,stage,nonfinite_leads,n_nan,n_inf,raw_len,fs_hz,nonfinite_after_resample,detection_path,source_data,source_manifest
JS14659,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V4,47,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS15624,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,3,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS16169,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,38,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS16222,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,193,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS16813,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,12,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS19309,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)","V4,V5",53,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS19708,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V4,85,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS20330,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)","V4,V5",31,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS20656,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,60,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS21144,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,26,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS21617,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,66,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS21668,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,54,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS21701,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,43,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS21853,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,24,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS21881,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,21,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS23116,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,12,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS23450,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,54,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS23482,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,33,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS23588,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,20,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS23786,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,26,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS23950,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,104,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS24016,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,26,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS25106,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,31,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS25322,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V3,129,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS25458,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,53,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS26009,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)","V4,V5",6,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS26130,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,57,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS26145,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,2,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS26245,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V3,21,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS26605,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V3,7,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS26793,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,14,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS26843,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V4,3,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS26977,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,37,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS27034,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,18,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS27170,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,2,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS27271,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,55,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS27278,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)","V5,V6",137,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS27407,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,7,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS27460,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,15,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS27835,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,2,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS27985,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,12,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS28075,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,224,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS28648,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,80,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS28757,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,1,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS33280,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,2,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS34479,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,1,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS34509,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V2,46,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS34788,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,6,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS34868,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,6,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS34879,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,20,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS35050,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,12,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS35065,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,77,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS35192,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,1,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS35654,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,4,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS35727,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V3,45,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS36015,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V2,5,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS36018,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,100,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS36189,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,9,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS36244,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,34,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS36568,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,1,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS36731,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,16,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS37105,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V4,49,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS37173,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,21,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS37176,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V4,12,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS37439,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,39,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS37592,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V3,56,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS37609,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V1,2,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS37781,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,83,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS38231,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,18,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS38252,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,4,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS41844,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V3,3,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS41908,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V2,64,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS41935,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,12,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS42026,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,21,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS42330,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,3,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS42400,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,57,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS42415,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)","V4,V5,V6",213,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS42614,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V3,68,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS42631,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V4,3,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS42676,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)","V2,V5",422,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS43330,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,62,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS43400,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,35,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS43569,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,4,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS43710,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,18,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS44571,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,39,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
