family,probe,host,seeds,auprc,delta_pt_vs_local_b0,closure_reason,source_file,source_git_sha
解剖目标,a1_d1l_fix,A,s0,0.6471,-7.06,当前 D1L 协议关闭,runlog/M/matrix_results.csv,3e58eb1
区域目标,a2_acl_intra,A,s0,0.6266,-9.11,当前 ACL intra 关闭,runlog/M/matrix_results.csv,3e58eb1
区域目标,a3_acl_inter,A,s0,0.6994,-1.83,当前 ACL full 关闭,runlog/M/matrix_results.csv,3e58eb1
患者正对,n3_prob03,B,s0,0.7061,-0.97,患者正对当前实现关闭,runlog/M/matrix_results_hostB.csv,3e58eb1
Sinc 前端,sinc_m16,B,s0,0.6887,-2.71,当前参数化前端关闭,runlog/M/matrix_results_hostB.csv,3e58eb1
患者去相关,h3_decor03,B,s0,0.5660,-14.98,强去相关破坏表征，关闭,runlog/M/matrix_results_hostB.csv,3e58eb1
MixUp,c3_align_mix02,B,s0,0.6989,-1.69,频谱对齐 MixUp 关闭,runlog/M/matrix_results_hostB.csv,3e58eb1
MixUp,c3_plain_mix02,B,s0,0.7014,-1.44,普通 MixUp 也关闭,runlog/M/matrix_results_hostB.csv,3e58eb1
HRV 辅助,h4_hrv01,B,s0,0.7132,-0.26,当前 HRV 辅助头关闭,runlog/M/matrix_results_hostB.csv,3e58eb1
W1-结构先验(D1L-fix),a1_d1lfix_05_02,B,s0,0.6400,-7.58,"判负: τ对角修正版破坏性强于旧bug, 结构化跨导目标线关闭",runlog/M/matrix_results_hostB.csv,3e58eb1
W1-重建线(CCM),b3_ccm_rec01,B,s0,0.7067,-0.91,"判负: 周期内遮挡劣于多段遮挡, 重建支路无增益(η=0.1)",runlog/M/matrix_results_hostB.csv,3e58eb1
W1-ACL随机分区,a4_rand_p101,B,s0,0.7086,-0.72,判负: ACL加性随机分区三分区符号一致微负,runlog/M/matrix_results_hostB.csv,3e58eb1
W1-重建线,b2_multiseg_rec01,B,s0,0.7141,-0.17,"噪声级(-0.0017)≈中性, 多段遮挡无增益",runlog/M/matrix_results_hostB.csv,3e58eb1
W1-结构先验(D1L-fix),a1_d1lfix_neg,B,s0,0.6469,-6.89,判负: 打乱先验(-0.0689)≈真实(-0.0758)→伤害源于机制本身非先验对错,runlog/M/matrix_results_hostB.csv,3e58eb1
W1-ACL随机分区,a4_rand_p102,B,s0,0.7109,-0.49,判负: ACL加性随机分区三分区符号一致微负,runlog/M/matrix_results_hostB.csv,3e58eb1
W1-ACL随机分区,a4_rand_p103,B,s0,0.7089,-0.69,判负: ACL加性随机分区三分区符号一致微负,runlog/M/matrix_results_hostB.csv,3e58eb1
W1-重建线(旧D7),b1_d7_arch,B,-,NA,NA,"弃跑(工程决策): 旧路径未提速~23h, 归档审计价值低; 非结果判负",runlog/HOSTS.md(W1终报),3e58eb1
E002-历史族,Attention/ECA/均值/融合变体,A(历史),mixed,NA,见族描述,无稳定超过B0; AR-B3仅作历史对照基座,失败实验归档-2026-09-22.md§四,3e58eb1
E003-历史族,Mixer/JEPA/自动复合,A(历史),mixed,NA,见族描述,"Mixer明显退化, JEPA部分缓解, 自动复合验证过拟合; 堆模块路线关闭",失败实验归档-2026-09-22.md§四,3e58eb1
E005-历史族,跨导联掩码蒸馏,A(历史),mixed,NA,见族描述,"clean -2.3pt, 双导缺失-0.9pt, 同时损伤通用与鲁棒, 关闭",失败实验归档-2026-09-22.md§四,3e58eb1
E006-历史族,生理-空间先验P1/S1,A(历史),mixed,NA,见族描述,"AR-B3上+0.40pt弱正, B0无增益, 未过粗筛门槛; 保留为边界分析",失败实验归档-2026-09-22.md§四,3e58eb1
E007-历史族,LGA(×TRC),A(历史),mixed,NA,见族描述,"LGA单开FT100 -0.89pt且FT10负; LGA关闭, TRC单独进入确认(W2已确认)",失败实验归档-2026-09-22.md§四,3e58eb1
N1-历史族,多库混合预训练,A(历史),mixed,NA,见族描述,"五库混合 -3.07pt, 域冲突>数据量收益; 无域适配不再混库",失败实验归档-2026-09-22.md§四,3e58eb1
D9-历史族,VICReg/白化目标重写,A(历史),mixed,NA,见族描述,"多形态均负(-1.3~-10.7pt), 不再替换Barlow Twins目标",失败实验归档-2026-09-22.md§四,3e58eb1
